dateTime,authorName,Message,Time
2023-03-26 23:01:21,JEN 1122,1,0:52
2023-03-26 23:01:23,คนไทย Australian,1,0:54
2023-03-26 23:01:23,Pornchai S.,hi,0:54
2023-03-26 23:01:36,วันเพ็ญ อภัยโส,:folded_hands::hot_beverage:,1:07
2023-03-26 23:01:44,leo,:folded_hands:ลุงยุทธ,1:15
2023-03-26 23:01:57,leo,5,1:28
2023-03-26 23:02:14,กรุบกริบ,7,1:45
2023-03-26 23:02:15,เด็กใต้ ป้ายระนอง,สวัสดีคับทุกคน,1:46
2023-03-26 23:02:17,Prath C,วันทำงานแล้ว สวัสดีครับ,1:48
2023-03-26 23:02:23,Thanatsorn Chalarat,:folded_hands:,1:54
2023-03-26 23:02:27,Chalemsak Supunnok,สวัสดีวันจันทร์,1:58
2023-03-26 23:03:17,เช็ดเข้ อาราเล่สังฆัง,0,2:48
2023-03-26 23:03:19,Pom noi,:hand-orange-covering-eyes:,2:50
2023-03-26 23:03:23,Sutivas wongkantha,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:,2:54
2023-03-26 23:03:29,รุ่ง ติ๊บปาละ,หัวศรีษะเราเบาตัวเราแน่นครับ,3:00
2023-03-26 23:03:33,њัחŋ่∂এ∩דវເວබד จึงใช้ใจสาดแสงเพื่อนำทาง,สวัสดีชาวโลก,3:04
2023-03-26 23:03:42,Nils Mj,โหดจัด,3:13
2023-03-26 23:03:42,Investor Man,กรรม,3:13
2023-03-26 23:03:48,เตี้ย :,:face-orange-raised-eyebrow::face-orange-raised-eyebrow::face-orange-raised-eyebrow:,3:19
2023-03-26 23:03:56,เช็ดเข้ อาราเล่สังฆัง,:thumbs_up: โรงบาลย้าจะได้มีงานทำเยอะขึ้น,3:27
2023-03-26 23:03:58,Rittidech ฤทธิเดช,บันไดหนีตาย,3:29
2023-03-26 23:04:01,พ่อบ้าน👺,ลาก่อน,3:32
2023-03-26 23:04:02,เช็ดเข้ อาราเล่สังฆัง,อิอิ,3:33
2023-03-26 23:04:08,ชิต พันนารัตน์,:goodvibes::goodvibes::goodvibes:,3:39
2023-03-26 23:04:11,ไอ้หนุ่มรถไถ🚜🚜,ยุคควายบริหารพังเป็นแถว:woozy_face::woozy_face:,3:42
2023-03-26 23:04:21,Nils Mj,เห็นแก่ตัว,3:52
2023-03-26 23:04:26,Montha Changplalมลฑา.. ช้างพลาย,:virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::yougotthis::yougotthis::learning:,3:57
2023-03-26 23:04:53,Love InFinity,แล้วมึงยิงคนอื่นทำไม,4:24
2023-03-26 23:04:57,udomrat,สวัสดีค่ะเรื่องเล่าเช้านี้:hot_beverage::teacup_without_handle:,4:28
2023-03-26 23:05:00,ชาเย็น ไม่เย็นชา,สวัสดีครับ เรื่องเล่าเช้านี้,4:31
2023-03-26 23:05:05,วนาลี แซ่เทียว,.....,4:36
2023-03-26 23:05:12,Nils Mj,จะตายไม่ตายเองว่ะ,4:43
2023-03-26 23:05:13,Bank Chatcharwan,เสมียน ก็รักเจ้านาย นะ อุส่าห์ตามไป,4:43
2023-03-26 23:05:19,Nongnuch Wanthong,:hot_beverage::egg2::bread:,4:50
2023-03-26 23:05:30,Nongnuch Wanthong,:rose::rose::rose::rose::rose:,5:01
2023-03-26 23:05:32,เมธี อริยะ,:spider_web::folded_hands::man_raising_hand:,5:03
2023-03-26 23:05:35,R.P.G R.P.G,สรุป,5:06
2023-03-26 23:05:38,ไอ้หนุ่มรถไถ🚜🚜,น่าจะเป็น ตู่:face_with_tears_of_joy:,5:09
2023-03-26 23:05:44,อุซึมากิ นารูโตะ,ไหนใครไมรักลุงนะ,5:15
2023-03-26 23:05:45,KITTY,อ้วนมาก,5:16
2023-03-26 23:05:46,Nils Mj,ยิงเขาตาย ลูกเมียครอบครัวเขาจะทำไง,5:17
2023-03-26 23:05:46,เมธี อริยะ,ตายห่าเลย:face_screaming_in_fear:,5:17
2023-03-26 23:05:47,เช็ดเข้ อาราเล่สังฆัง,เขาเกาะหลังเเย่งปืน อิอิ บ้าบอนกเอี้ยงตาเหล่ตกต้นไม้ตาย,5:18
2023-03-26 23:05:55,chayada poungthong,:herb::herb::herb:,5:26
2023-03-26 23:06:10,พ่อบ้าน👺,ไปช่วยทำไม เดียวก็ตายฟรีหรอก,5:41
2023-03-26 23:06:24,Nongnuch Wanthong,:expressionless_face::expressionless_face::expressionless_face::expressionless_face::expressionless_face:,5:55
2023-03-26 23:06:27,ธนากร ปิ่นคํา,:text-green-game-over:ตายแล้ว ตายอยู่ ต่ายต่อ,5:58
2023-03-26 23:06:27,My Few,พนักงานไปตั้งเยอะสอบไม่ผ่าน,5:58
2023-03-26 23:06:35,รถสวย ฟรีดาวน์,:fearful_face::fearful_face:,6:06
2023-03-26 23:06:37,อุซึมากิ นารูโตะ,ไม่รักลุงตกนรกนะ,6:08
