dateTime,authorName,Message,Time
2023-03-23 23:01:07,Pornchai S.,hi,0:38
2023-03-23 23:01:12,BOY BANK,1,0:43
2023-03-23 23:01:12,leo,:face-blue-smiling:,0:43
2023-03-23 23:01:12,Pornchai S.,hi,0:43
2023-03-23 23:01:13,สาธิต พงษ์เสนา,:folded_hands::globe_showing_asia_australia::globe_showing_americas::globe_showing_europe_africa:🇹🇭,0:45
2023-03-23 23:01:18,Loli CAT,สวัสดีค่ะ,0:49
2023-03-23 23:01:19,BOY BANK,สวัสดีครับ,0:50
2023-03-23 23:01:25,leo,:folded_hands:,0:56
2023-03-23 23:01:34,ประยุทธ์ จันทร์โอชา,อรุณสวัสดิ์จ่ะ,1:05
2023-03-23 23:01:38,њัחŋ่∂এ∩דវເວබד จึงใช้ใจสาดแสงเพื่อนำทาง,สวัสดีชาวโลก,1:09
2023-03-23 23:01:46,สัมฤทธิ์ สุวรรณกูล,:hand-pink-waving::hand-pink-waving::hand-pink-waving:,1:17
2023-03-23 23:01:55,เช็ดเข้ อาราเล่สังฆัง,สวัสดีกล่องดวงใจหนุมานทุกท่านครัชชชชชช,1:26
2023-03-23 23:01:59,Prath C,สวัสดีตอนเช้าครับ,1:31
2023-03-23 23:02:01,Nils Mj,คุนจิ๋ม5555,1:33
2023-03-23 23:02:13,Nils Mj,ลุงยุดก็เน้นชื่อจัง5555,1:44
2023-03-23 23:02:28,Nils Mj,พี่จิ๋มผม55555,1:59
2023-03-23 23:02:35,ดวงจันทร์ นามเสนา,สวัสดีค่ะเรื่องเล่าเช้านี้ พี่ยุทธ์น้องไบรท์,2:06
2023-03-23 23:02:36,Bosschek,พ่นสีจิ๋ม,2:07
2023-03-23 23:02:36,เช็ดเข้ อาราเล่สังฆัง,อิอิ บัญชา จิ๋ม,2:08
2023-03-23 23:02:38,สุรพล เสริมทรัพย์,พี่เป็นลูกผู้ชายตัวจริงๆ พี่ได้บุญใหญ่เลยครับ,2:10
2023-03-23 23:02:39,њัחŋ่∂এ∩דវເວබד จึงใช้ใจสาดแสงเพื่อนำทาง,น่าสงสาร,2:11
2023-03-23 23:02:41,Nongnuch Wanthong,:hot_beverage::egg2::bread:,2:12
2023-03-23 23:02:41,KNOW THAI,สะเทือน ติ่งส้ม น้องมาย ยกมือไหว้ลุงป้อม 555555555555555555,2:12
2023-03-23 23:02:43,ห้ามขู่ฆ่าเรื่องเล่าเช้านี้,รักเรื่องเล่าเช้านี้มากๆ นะ:dothefive::dothefive::dothefive::dothefive::dothefive:,2:14
2023-03-23 23:02:54,เช็ดเข้ อาราเล่สังฆัง,สั่งได้เหรอ อิอิ ไม่มีจิ๋ม มีจู๋ ,2:25
2023-03-23 23:02:56,สาธิต พงษ์เสนา,พรี่จิ๋ม....เก่งจัง ช่วยคุณยาย จมน้ำ,2:28
2023-03-23 23:03:00,Nils Mj,ผช ชื่อจิ๋ม5555,2:31
2023-03-23 23:03:03,KNOW THAI,เมื่อวานนี้สะเทือน ติ่งส้ม น้องมาย ยกมือไหว้ลุงป้อม 555555555555555555,2:34
2023-03-23 23:03:16,ต้นเงิน,จิ๋มของผม เน้นจัง:grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:,2:47
2023-03-23 23:03:18,เช็ดเข้ อาราเล่สังฆัง,ช่วยจิ๋มที่ริม บึง อิอิ,2:49
2023-03-23 23:03:20,Nils Mj,พ่อลุงจิ๋มคงชอบจิ๋มมาก55555,2:51
2023-03-23 23:03:25,KNOW THAI,เมื่อวานนี้สะเทือน ติ่งส้ม น้องมาย ยกมือไหว้ลุงป้อม 555555555555555555,2:56
2023-03-23 23:03:32,กิจธญา ชัยเดช,คุณยุทธ อย่าขยี้คำว่าจิมมากเลย,3:03
2023-03-23 23:03:39,њัחŋ่∂এ∩דវເວබד จึงใช้ใจสาดแสงเพื่อนำทาง,เเกหลง,3:10
2023-03-23 23:03:42,เช็ดเข้ อาราเล่สังฆัง,จุ๊กกกกกกูร๊ววววว์ แอ๊ะแอ้,3:13
2023-03-23 23:03:42,Nongnuch Wanthong,จิ๋ม มาแต่เช้า:face_with_hand_over_mouth::face_with_hand_over_mouth::face_with_hand_over_mouth::face_with_hand_over_mouth::face_with_hand_over_mouth:,3:14
2023-03-23 23:03:47,Nils Mj,เลยตั้งชื่อลูกว่าจิ๋มซะเลย5555,3:18
2023-03-23 23:03:47,Prath C,ยาย ลอยตามน้ำมา ไม่มีเสื้อผ้า สะดือแหลมเปี๊ยบ,3:19
2023-03-23 23:03:57,🗼Pink Fioyd🗽,บุญช่วยสมชื่อ:person-turqouise-waving:,3:28
2023-03-23 23:03:57,Wisanuwan Puengtumjit,โชคดีมากครับคุยชายบุญช่วย บุญช่วยจริงๆ,3:28
2023-03-23 23:04:13,รถสวย ฟรีดาวน์,:face_with_open_mouth::face_with_open_mouth:,3:44
2023-03-23 23:04:18,KNOW THAI,ขอข่าว น้องมาย จีบลุงห้อมหน่อยคับ เมื่อวานนี้ 55555,3:49
2023-03-23 23:04:35,KNOW THAI,เมื่อวานนี้สะเทือน ติ่งส้ม น้องมาย ยกมือไหว้ลุงป้อม 555555555555555555,4:06
2023-03-23 23:04:43,ผู้พัน ยาเส้น,หน้ามืดที่ริมบึง เหรอ ยาย,4:14
2023-03-23 23:04:47,Final,:face-blue-smiling:,4:18
2023-03-23 23:04:52,Tavarit Yimchoy,:face-red-heart-shape::face-red-heart-shape:เพื่อไทย นำทุกโพล คะแนนไม่ทิ้งน้ำ,4:23
2023-03-23 23:04:54,รัญจวน สุเรนรัมย์,สวัสดียามเช้า,4:25
2023-03-23 23:04:57,ผู้พัน ยาเส้น,สงสัยอาบน้ำเเล้วความดันขึ้นวูบ,4:29
2023-03-23 23:04:58,Tavarit Yimchoy,:face-red-heart-shape::face-red-heart-shape:เพื่อไทย นำทุกโพลคะแนนไม่ทิ้งน้ำ,4:29
2023-03-23 23:05:05,Tavarit Yimchoy,:face-red-heart-shape::face-red-heart-shape:เพื่อไทย นำทุกโพลคะแนนไม่ทิ้งน้ำ,4:37
2023-03-23 23:05:10,Tavarit Yimchoy,:face-red-heart-shape::face-red-heart-shape:เพื่อไทย นำทุกโพลคะแนนไม่ทิ้งน้ำ,4:42
2023-03-23 23:05:11,Nils Mj,เด็กไหว้ผู้ใหญ่ เป็นเรื่องธรรมดาคับ,4:42
2023-03-23 23:05:12,KNOW THAI,เมื่อวานนี้สะเทือน ติ่งส้ม น้องมาย ยกมือไหว้ลุงป้อม 555555555555555555,4:43
2023-03-23 23:05:13,Wisanuwan Puengtumjit,ไปถามไกลๆไปแกเหนื่อยอยู่,4:44
2023-03-23 23:05:16,њัחŋ่∂এ∩דវເວබד จึงใช้ใจสาดแสงเพื่อนำทาง,แกสั่นเลยคงหนาว,4:47
2023-03-23 23:05:16,Tavarit Yimchoy,:face-red-heart-shape::face-red-heart-shape:เพื่อไทย นำทุกโพลคะแนนไม่ทิ้งน้ำ,4:47
2023-03-23 23:05:16,สกุล เมฆา,:thumbs_up::red_heart::love_you_gesture:รวยๆจ้า..สาธุ:love_you_gesture::red_heart::thumbs_up:,4:48
2023-03-23 23:05:30,Bunthan Manomai,Bloomington Illinois USA สวัสดีครับ,5:01
2023-03-23 23:05:35,สาธิต พงษ์เสนา,พ.ม. มาช่วยเหลือ....คุณยายช่วย,5:07
2023-03-23 23:05:44,Prath C,ควรส่งบ้านพักคนชรา,5:15
2023-03-23 23:05:49,💓 หวานใจซอน,สะเทือนอะไร เพี้ยนแต่เช้านะมุง,5:20
2023-03-23 23:05:59,Nils Mj,ยายไปหาลุงจิ๋มป่าว,5:30
