dateTime,authorName,Message,Time
2023-03-02 23:00:23,Pornchai S.,hi,0:35
2023-03-02 23:00:27,Pornchai S.,hi,0:39
2023-03-02 23:00:30,Pornchai S.,hi,0:42
2023-03-02 23:00:35,leo,:face-blue-smiling:,0:47
2023-03-02 23:00:39,FLFLUKKE Ch.,/,0:52
2023-03-02 23:00:42,เด็กใต้ ป้ายระนอง,สวัสดีครับ,0:54
2023-03-02 23:00:46,leo,:folded_hands:,0:58
2023-03-02 23:00:54,ลุยให้จบ,สวัสดี จร้า,1:06
2023-03-02 23:01:01,กาลเวลา พิสูจน์ คน!,:folded_hands::hot_beverage::hot_beverage::flexed_biceps::right_facing_fist::left_facing_fist::victory_hand:,1:13
2023-03-02 23:01:03,Prath C,สวัสดีตอนเช้าครับ ,1:16
2023-03-02 23:01:09,วันเพ็ญ อภัยโส,:folded_hands::hot_beverage:,1:22
2023-03-02 23:01:17,สิงห์สําอาง ห้วยหลวง9,:water_buffalo:ตู่,1:29
2023-03-02 23:01:23,ชาเย็น ไม่เย็นชา,สวัสดีครับ เรื่องเล่าเช้านี้:folded_hands:,1:35
2023-03-02 23:01:36,Sukij Homsuwan,ฃ,1:49
2023-03-02 23:01:59,Kang Chanamon,มันมองไม่เห็นหรือไงว่ารถไฟมา เฮ้อ ประมาทแท้,2:11
2023-03-02 23:02:00,อดิศร บุญประสงค์,:goodvibes::virtualhug::yougotthis::elbowcough::washhands:,2:12
2023-03-02 23:02:14,สิงห์สําอาง ห้วยหลวง9,:water_buffalo::water_buffalo::water_buffalo:ตู่:water_buffalo::water_buffalo:,2:26
2023-03-02 23:02:19,พีเสือ789,:tiger::tiger::tiger:,2:31
2023-03-02 23:02:25,ดวงจันทร์ นามเสนา,สวัสดีค่ะเรื่องเล่าเช้านี้ คุณยุทธ์น้องไบรท์,2:38
2023-03-02 23:02:27,มีงูนะ,เรียบ ค่ะ ม่ายยย มี ลาเบียบ วินายย ชอบ มัก ง่าย ก็ งี้ งี้ งี้,2:39
2023-03-02 23:02:31,ชาเย็น ไม่เย็นชา,ความประมาทคือความตาย,2:43
2023-03-02 23:02:35,Zhuge Stargaze,หายวับไปกับตา rip.,2:47
2023-03-02 23:02:49,phonpae pongsiri,สวัดดีคับ,3:02
2023-03-02 23:02:55,ANYA 🇱🇦,Good morning everyone :folded_hands::folded_hands:,3:07
2023-03-02 23:03:20,มีงูนะ,ม่าย มี ลาเบียบ วินาย หาด้ายย มักมาย ที่ กาลา,3:32
2023-03-02 23:03:20,เช็ดเข้ อาราเล่สังฆัง,ยิ่งชินยิ่งเคยตัวยิ่งเคยยิ่งประมาท เรื่องเเบบนี้,3:33
2023-03-02 23:03:34,วราภรณ์ สงโนนสูง,สวัสดีค่ะ from France ,3:46
2023-03-02 23:03:38,สาธิต พงษ์เสนา,:folded_hands::globe_showing_europe_africa::globe_showing_americas::globe_showing_asia_australia:🇹🇭 ไม้กั้นลง,3:50
2023-03-02 23:03:48,ชาเย็น ไม่เย็นชา,เขมร มา,4:00
2023-03-02 23:03:56,รถสวย ฟรีดาวน์,:hand-pink-waving::hand-pink-waving:,4:08
2023-03-02 23:04:01,อนุชิต สาบก,มีแฟนก็เหมือนไม่มี,4:13
2023-03-02 23:04:03,Somskun Thiangmai,ประมาทไปนิด,4:15
2023-03-02 23:04:10,king satsayk,อีกเเล้ว,4:23
2023-03-02 23:04:11,Samka good,อ้าว!ยังไม่จบอีกรึ,4:23
2023-03-02 23:04:11,ฝนฟ้า อากาศ,สวัสดีค่ะ,4:24
2023-03-02 23:04:17,ʕ•̀ᴥ•́ʔ,จังได๋,4:29
2023-03-02 23:04:21,thitika Mingju,l,4:33
